asset_id,asset_type,name,location,progress,criticality,priority,status
101,Road,"Kilpauk Road","Kilpauk",80,55,392,"Maintenance"
102,Drainage,"Sholinganallur Drainage","Sholinganallur",40,51,296,"Operational"
103,Pipeline,"Nungambakkam Pipeline","Nungambakkam",69,72,231,"Maintenance"
104,Bridge,"Mogappair Bridge","Mogappair",66,27,526,"Under Repair"
105,Pipeline,"Anna Nagar Pipeline","Anna Nagar",57,97,43,"Faulty"
106,Road,"Sholinganallur Road","Sholinganallur",74,66,293,"Operational"
107,Traffic Light,"Triplicane Traffic Light","Triplicane",78,30,537,"Faulty"
108,Pipeline,"Ambattur Pipeline","Ambattur",73,18,572,"Faulty"
109,Pipeline,"Porur Pipeline","Porur",55,95,49,"Severely Damaged"
110,Street Light,"Pallavaram Street Light","Pallavaram",48,48,338,"Under Repair"
111,Bridge,"Kilpauk Bridge","Kilpauk",82,98,99,"Severely Damaged"
112,Pipeline,"Guindy Pipeline","Guindy",47,20,516,"Operational"
113,Road,"Thiruvanmiyur Road","Thiruvanmiyur",89,76,265,"Maintenance"
114,Traffic Light,"Perambur Traffic Light","Perambur",22,18,457,"Maintenance"
115,Traffic Light,"Velachery Traffic Light","Velachery",44,10,560,"Operational"
116,Bridge,"Nungambakkam Bridge","Nungambakkam",52,52,322,"Under Repair"
117,Street Light,"Alwarpet Street Light","Alwarpet",47,50,320,"Severely Damaged"
118,Road,"Kilpauk Road","Kilpauk",50,84,101,"Operational"
119,Drainage,"Egmore Drainage","Egmore",66,45,418,"Faulty"
120,Traffic Light,"Washermanpet Traffic Light","Washermanpet",93,86,206,"Severely Damaged"
121,Pipeline,"Avadi Pipeline","Avadi",79,56,381,"Operational"
122,Traffic Light,"Royapettah Traffic Light","Royapettah",51,81,128,"Operational"
123,Pipeline,"Pallavaram Pipeline","Pallavaram",100,86,226,"Operational"
124,Traffic Light,"Ambattur Traffic Light","Ambattur",89,60,382,"Faulty"
125,Pipeline,"Porur Pipeline","Porur",20,73,87,"Faulty"
126,Street Light,"Anna Nagar Street Light","Anna Nagar",31,26,436,"Maintenance"
127,Drainage,"Adyar Drainage","Adyar",78,78,212,"Operational"
128,Traffic Light,"Perungudi Traffic Light","Perungudi",97,73,313,"Severely Damaged"
129,Drainage,"Tambaram Drainage","Tambaram",70,84,164,"Under Repair"
130,Traffic Light,"Velachery Traffic Light","Velachery",9,62,135,"Operational"
131,Drainage,"Sholinganallur Drainage","Sholinganallur",31,41,337,"Faulty"
132,Bridge,"Perambur Bridge","Perambur",52,96,37,"Under Repair"
133,Pipeline,"Velachery Pipeline","Velachery",61,19,555,"Severely Damaged"
134,Traffic Light,"Egmore Traffic Light","Egmore",23,97,8,"Operational"
135,Road,"Washermanpet Road","Washermanpet",68,43,430,"Maintenance"
136,Bridge,"Ambattur Bridge","Ambattur",71,94,92,"Under Repair"
137,Bridge,"Perambur Bridge","Perambur",8,11,464,"Severely Damaged"
138,Traffic Light,"Tondiarpet Traffic Light","Tondiarpet",84,83,198,"Severely Damaged"
139,Traffic Light,"Guindy Traffic Light","Guindy",90,92,165,"Maintenance"
140,Traffic Light,"Tondiarpet Traffic Light","Tondiarpet",11,92,7,"Faulty"
141,Pipeline,"Alwarpet Pipeline","Alwarpet",28,75,98,"Under Repair"
142,Bridge,"Besant Nagar Bridge","Besant Nagar",90,62,369,"Severely Damaged"
143,Road,"Washermanpet Road","Washermanpet",61,66,252,"Under Repair"
144,Street Light,"Velachery Street Light","Velachery",17,71,91,"Severely Damaged"
145,Pipeline,"Velachery Pipeline","Velachery",18,47,256,"Operational"
146,Road,"Besant Nagar Road","Besant Nagar",84,74,263,"Severely Damaged"
147,Pipeline,"Medavakkam Pipeline","Medavakkam",49,97,29,"Faulty"
148,Pipeline,"Kodambakkam Pipeline","Kodambakkam",90,93,158,"Severely Damaged"
149,Pipeline,"Velachery Pipeline","Velachery",4,26,362,"Faulty"
150,Bridge,"Adyar Bridge","Adyar",93,79,259,"Under Repair"
151,Bridge,"Thiruvanmiyur Bridge","Thiruvanmiyur",37,41,354,"Severely Damaged"
152,Pipeline,"Avadi Pipeline","Avadi",75,59,341,"Under Repair"
153,Bridge,"Egmore Bridge","Egmore",19,13,479,"Under Repair"
154,Traffic Light,"Mogappair Traffic Light","Mogappair",55,99,30,"Operational"
155,Pipeline,"Thiruvanmiyur Pipeline","Thiruvanmiyur",45,54,288,"Severely Damaged"
156,Road,"Alwarpet Road","Alwarpet",17,24,419,"Faulty"
157,Bridge,"Avadi Bridge","Avadi",0,59,130,"Maintenance"
158,Street Light,"Tambaram Street Light","Tambaram",27,14,497,"Under Repair"
159,Bridge,"Tondiarpet Bridge","Tondiarpet",63,88,115,"Operational"
160,Pipeline,"Chromepet Pipeline","Chromepet",14,86,20,"Faulty"
161,Bridge,"Avadi Bridge","Avadi",2,70,61,"Severely Damaged"
162,Traffic Light,"Perambur Traffic Light","Perambur",13,46,244,"Operational"
163,Traffic Light,"Anna Nagar Traffic Light","Anna Nagar",8,56,169,"Under Repair"
164,Traffic Light,"Kilpauk Traffic Light","Kilpauk",11,76,50,"Maintenance"
165,Road,"Tondiarpet Road","Tondiarpet",16,54,197,"Under Repair"
166,Traffic Light,"Mogappair Traffic Light","Mogappair",18,51,225,"Under Repair"
167,Street Light,"T Nagar Street Light","T Nagar",60,99,40,"Faulty"
168,Drainage,"Avadi Drainage","Avadi",34,21,469,"Severely Damaged"
169,Road,"Pallavaram Road","Pallavaram",12,26,391,"Operational"
170,Road,"Alwarpet Road","Alwarpet",19,19,448,"Faulty"
171,Road,"Mylapore Road","Mylapore",67,51,378,"Operational"
172,Drainage,"Kolathur Drainage","Kolathur",99,48,475,"Operational"
173,Pipeline,"Besant Nagar Pipeline","Besant Nagar",38,43,344,"Operational"
174,Traffic Light,"Anna Nagar Traffic Light","Anna Nagar",86,94,141,"Under Repair"
175,Bridge,"Mylapore Bridge","Mylapore",61,51,356,"Severely Damaged"
176,Street Light,"Besant Nagar Street Light","Besant Nagar",100,24,589,"Maintenance"
177,Bridge,"Kilpauk Bridge","Kilpauk",8,61,138,"Under Repair"
